plz,lat,lon,ort
59225,51.762975,7.89345,Stadtverwaltung Ahlen
59469,51.5133,7.9494,Ense
59759,51.4263,7.9913,Arnsberg
60257,50.0992,8.667,Allianz Versicherungen
60291,50.1045,8.6822,DAK -Sozialversicherungswahlen-
60329,50.1074,8.6663,Frankfurt am Main
60487,50.1257,8.6414,Frankfurt am Main
60608,50.1367,8.743,1822 direkt Gesellschaft der Frankfurter Sparkasse mbH
60638,50.0302,8.5683,Lufthansa Group Taste & More GmbH
61206,50.2833,8.7667,Wöllstadt
61435,50.212,8.5742,Alte Leipziger
63147,50.0525,8.81,Herth & Buss
63443,50.1227,8.92,sheego GmbH
63571,50.2016,9.1874,Gelnhausen
63699,50.3448,9.2114,Kefenrod
63826,50.1233,9.1966,Geiselbach
63879,49.9308,9.3661,Weibersbrunn
64279,49.8914,8.611,Merck Accounting Solutions & Services Europe GmbH
64385,49.7121,8.839,Reichelsheim
64624,49.6694,8.6183,Sirona Dental Services Verwaltungs GmbH
64807,49.8974,8.8461,Dieburg
65183,50.0817,8.2389,Wiesbaden
65232,50.1377,8.1337,Taunusstein
65450,50.0523,8.535633333333333,DHL Danzas + Ocean Germany GmbH
65582,50.386599999999994,7.997533333333333,Hambach
65760,50.1433,8.5711,Eschborn
66090,49.2275,7.0251,Mercedes-Benz Banking Service GmbH
66129,49.2333,7.0,Saarbrücken
66458,49.2867,7.2161,Praktiker
66629,49.55,7.25,Freisen
66822,49.4112,6.9099,Lebach
66951,49.20451666666667,7.595833333333334,Kreisverwaltung Südwestpfalz
67071,49.489,8.3791,Ludwigshafen am Rhein
67158,49.4617,8.2594,Ellerstadt
67292,49.6625,8.0151,Kirchheimbolanden
67373,49.3186,8.3886,Dudenhofen
67549,49.6356,8.3338,Worms
67657,49.4495,7.7948,Kaiserslautern
67722,49.562525,7.849724999999999,Potzbach
67808,49.639746153846154,7.8641,Weitersweiler
68132,49.4971,8.4985,Bauhaus
68167,49.4996,8.4939,Mannheim
68642,49.6427,8.4594,Bürstadt
69121,49.4322,8.6824,Heidelberg
69256,49.3408,8.8003,Mauer
70137,48.7781,9.1667,HUK-Coburg
70173,48.77265,9.18,Stuttgart
70365,48.8096,9.1914,SPARKASSEN-VERSICHERUNG
70539,48.7202,9.1298,DEKRA Automobil GmbH
70644,48.8023,9.2236,Postbeamtenkrankenkasse
70825,48.8167,9.1167,Korntal-Münchingen
71131,48.575,8.7865,Jettingen
71299,48.85,8.8333,Wimsheim
71573,48.9066,9.4682,Allmersbach im Tal
71720,49.0261,9.3208,Oberstenfeld
72147,48.431,9.0699,Nehren
72290,48.4,8.45,Loßburg
72401,48.3661,8.8036,Haigerloch
72519,48.1851,9.2108,Veringenstadt
72657,48.5914,9.2219,Altenriet
72818,48.3084,9.2449,Trochtelfingen
73105,48.6408,9.6354,Dürnau
73271,48.6333,9.5167,Holzmaden
73433,48.8641,10.1044,Aalen
73499,49.0305,10.2724,Wört
73577,48.8828,9.8151,Ruppertshofen
73779,48.7122,9.3861,Deizisau
74196,49.235,9.3322,Neuenstadt am Kocher
74319,48.95376,9.134739999999999,Kliniken Ludwigsburg Bietigheim gGmbH Krankenhaus Bietigheim
74397,49.0644,8.9764,Pfaffenhofen
74571,49.2996,9.9601,Verlag Das Beste GmbH Versandabteilung
74651,49.286575,9.6835,Albert Berner Deutschland GmbH
74847,49.3519,9.0908,Obrigheim
74930,49.1908,8.9308,Ittlingen
75172,48.8919,8.6985,Pforzheim
75331,48.8333,8.65,Engelsbrand
75446,48.8833,8.85,Wiernsheim
76123,49.0028,8.3809,Berufsgenossenschaft der Bauwirtschaft Bezirksverwaltung Karlsruhe
76229,49.0047,8.3858,Karlsruhe
76432,48.863125,8.2137125,Verlagsunion Jugendredaktion
76547,48.7667,8.1667,Sinzheim
76742,49.0493,8.2805,Mercedes-Benz AG
76855,49.2061,7.9753,Annweiler am Trifels
77716,48.27436666666667,8.088333333333333,Haslach im Kinzigtal
77799,48.4516,7.9718,Ortenberg
77960,48.3106,7.9407,Seelbach
78089,48.0795,8.3657,Unterkirnach
78253,47.858,8.8978,Eigeltingen
78464,47.6723,9.1834,Konstanz
78594,48.05,8.7,Gunningen
